iter	RMSE
0	74850.10681
1	72649.47556
2	70387.90433
3	68455.83165
4	66415.4843
5	64526.85057
6	62590.10463
7	60847.44706
8	59228.0237
9	57671.92813
10	56051.10669
11	54560.52599
12	53245.80663
13	51896.78044
14	50560.07643
15	49278.54783
16	48126.52207
17	46971.8421
18	45950.0498
19	45033.84889
20	44082.31426
21	43164.98677
22	42227.19309
23	41343.92786
24	40453.13662
25	39547.64245
26	38758.78768
27	38086.88544
28	37371.81264
29	36704.90125
30	36025.74396
31	35281.55787
32	34558.68064
33	33952.78721
34	33415.03509
35	32888.8425
36	32259.05782
37	31695.97711
38	31226.31741
39	30670.80582
40	30229.75219
41	29740.35457
42	29321.73428
43	28944.86343
44	28515.20999
45	28068.59572
46	27672.87043
47	27267.61364
48	26938.19791
49	26532.85517
50	26180.54109
51	25817.49324
52	25484.33745
53	25122.84808
54	24863.47023
55	24594.09741
56	24340.11119
57	24042.36941
58	23760.12189
59	23513.52081
60	23252.3871
61	22974.50246
62	22725.07362
63	22512.08121
64	22314.67229
65	22147.5005
66	21943.67791
67	21767.63575
68	21527.66246
69	21320.40772
70	21137.71533
71	20927.86769
72	20722.60259
73	20556.8183
74	20348.27394
75	20160.00499
76	19984.54165
77	19826.27173
78	19633.67
79	19493.78685
80	19325.95314
81	19160.22898
82	19019.62153
83	18939.68265
84	18798.22143
85	18683.84569
86	18525.67286
87	18391.7599
88	18276.66831
89	18152.5021
90	18025.92349
91	17882.14231
92	17764.72725
93	17646.76863
94	17521.97978
95	17388.44723
96	17302.10015
97	17185.83124
98	17091.65178
99	16974.99726
100	16856.98529
101	16728.78039
102	16617.55544
103	16508.9154
104	16425.13394
105	16318.40117
106	16230.76277
107	16146.66613
108	16005.06074
109	15925.23553
110	15854.24801
111	15752.26531
112	15672.032
113	15597.21276
114	15535.57379
115	15457.58572
116	15402.21767
117	15322.983
118	15260.25487
119	15185.46921
120	15113.05176
121	15010.5626
122	14947.71748
123	14867.19917
124	14788.31565
125	14722.49447
126	14662.72067
127	14585.27698
128	14499.46079
129	14418.39057
130	14354.86415
131	14295.8375
132	14214.02145
133	14143.6571
134	14070.34409
135	14010.57544
136	14003.65751
137	13944.56103
138	13896.31395
139	13821.20417
140	13764.86198
141	13688.20861
142	13631.66018
143	13566.63918
144	13501.81341
145	13425.14031
146	13374.63592
147	13304.93829
148	13234.71877
149	13168.25408
150	13089.21487
151	13033.43338
152	12994.04164
153	12925.61585
154	12881.85543
155	12834.84761
156	12796.01592
157	12746.71363
158	12676.54729
159	12615.82283
160	12547.51497
161	12490.15527
162	12430.98875
163	12365.89929
164	12307.95156
165	12250.93361
166	12238.48348
167	12189.81535
168	12135.98887
169	12082.35111
170	12046.55606
171	11990.96015
172	11980.77192
173	11937.58385
174	11884.74074
175	11845.69216
176	11805.57858
177	11754.35936
178	11696.50745
179	11647.52454
180	11596.90889
181	11558.69676
182	11516.41764
183	11462.64422
184	11423.5511
185	11380.67566
186	11346.73318
187	11280.78165
188	11229.82678
189	11182.92226
190	11151.07972
191	11105.54819
192	11069.9659
193	11016.91434
194	10971.96756
195	10934.04794
196	10896.41284
197	10850.28423
198	10819.10644
199	10770.36309
200	10763.10578
201	10733.91849
202	10681.31748
203	10649.06297
204	10602.63092
205	10570.27123
206	10536.95978
207	10496.50132
208	10432.62982
209	10399.68456
210	10359.92935
211	10322.78412
212	10298.79596
213	10269.82509
214	10224.97677
215	10204.53935
216	10157.65544
217	10128.10325
218	10070.25078
219	10046.38224
220	10015.10316
221	9970.858496
222	9918.67545
223	9897.284221
224	9865.66013
225	9839.124802
226	9770.427637
227	9753.661297
228	9705.439577
229	9637.696998
230	9619.3231
231	9598.638894
232	9545.757697
233	9498.404804
234	9483.511454
235	9464.617284
236	9423.807937
237	9419.803713
238	9366.128071
239	9350.65687
240	9337.902556
241	9285.680886
242	9249.085668
243	9205.215428
244	9159.946312
245	9144.675302
246	9092.98669
247	9050.422425
248	9021.063951
249	8983.443629
250	8937.195521
251	8933.435842
252	8896.317448
253	8845.480834
254	8807.309685
255	8776.099081
256	8720.864054
257	8668.674601
258	8622.853186
259	8589.805625
260	8563.20867
261	8550.812728
262	8508.097966
263	8478.192139
264	8441.653669
265	8400.832298
266	8370.510096
267	8334.875621
268	8287.832161
269	8264.870142
270	8231.471415
271	8218.120436
272	8173.757018
273	8135.764584
274	8091.146447
275	8066.282643
276	8031.594794
277	8021.643831
278	7977.893732
279	7975.8365
280	7931.502245
281	7900.712187
282	7858.065256
283	7840.158898
284	7797.630886
285	7787.3681
286	7774.484247
287	7741.644241
288	7709.306094
289	7653.507544
290	7618.187101
291	7589.332324
292	7554.657886
293	7505.891103
294	7463.735468
295	7445.108371
296	7417.395546
297	7384.997867
298	7348.188004
299	7305.682627
300	7261.362345
301	7241.280371
302	7213.285226
303	7180.444553
304	7142.961724
305	7090.756323
306	7055.061233
307	7041.634215
308	7015.01211
309	6988.295878
310	6945.614557
311	6916.303383
312	6893.229907
313	6863.449942
314	6830.08652
315	6800.350719
316	6761.429374
317	6729.005131
318	6691.286922
319	6672.122069
320	6643.520194
321	6626.071579
322	6592.257203
323	6563.932408
324	6538.281151
325	6498.963139
326	6494.218473
327	6466.889399
328	6442.235663
329	6411.788978
330	6392.678844
331	6355.183754
332	6319.540743
333	6290.036529
334	6262.04559
335	6242.076267
336	6220.438553
337	6193.971198
338	6172.613532
339	6147.033425
340	6115.8407
341	6092.927134
342	6066.004681
343	6051.64985
344	6027.307892
345	5996.446567
346	5971.846057
347	5949.89209
348	5917.336048
349	5902.233128
350	5879.506748
351	5856.550127
352	5835.203971
353	5811.019805
354	5780.853648
355	5751.035709
356	5736.35667
357	5707.958085
358	5684.503265
359	5654.968201
360	5638.077442
361	5616.958683
362	5595.650215
363	5575.010022
364	5540.740263
365	5510.841856
366	5487.405216
367	5463.161801
368	5433.229898
369	5411.486246
370	5391.984421
371	5363.837184
372	5329.088116
373	5309.912825
374	5291.654218
375	5268.591887
376	5246.778684
377	5225.936064
378	5210.320117
379	5192.086985
380	5188.51902
381	5176.551125
382	5154.213243
383	5133.768916
384	5112.256044
385	5100.466233
386	5080.618146
387	5051.282534
388	5039.891443
389	5015.620044
390	5001.476388
391	4982.874226
392	4956.688171
393	4932.735799
394	4909.183446
395	4890.525389
396	4870.615508
397	4847.945891
398	4825.688355
399	4808.446147
400	4785.839588
401	4762.365765
402	4747.277799
403	4727.447559
404	4715.514835
405	4699.343497
406	4685.406164
407	4672.423332
408	4653.281605
409	4631.749187
410	4615.365606
411	4597.956249
412	4583.075593
413	4560.981263
414	4538.757603
415	4517.635075
416	4501.588051
417	4487.548171
418	4465.213029
419	4449.641525
420	4423.630731
421	4409.19058
422	4394.833983
423	4378.302125
424	4366.717801
425	4348.536232
426	4325.905608
427	4301.182993
428	4284.543664
429	4258.920538
430	4243.10181
431	4235.459603
432	4222.319585
433	4210.054057
434	4208.197116
435	4196.833131
436	4193.762391
437	4186.776866
438	4171.281488
439	4161.34843
440	4145.632131
441	4139.187911
442	4120.627318
443	4104.462714
444	4100.653224
445	4087.157023
446	4078.58081
447	4067.894665
448	4052.751022
449	4049.954099
450	4042.163188
451	4038.751863
452	4022.511643
453	4004.300806
454	3997.3128
455	3980.427113
456	3963.422675
457	3961.682568
458	3961.27815
459	3951.355575
460	3950.951213
461	3946.045045
462	3937.424676
463	3922.876205
464	3906.361867
465	3891.099606
466	3877.599157
467	3873.938789
468	3857.92644
469	3846.761624
470	3837.962063
471	3826.021695
472	3822.818139
473	3804.505782
474	3803.638264
475	3788.953721
476	3781.668718
477	3775.541801
478	3764.414263
479	3760.16849
480	3745.768838
481	3732.362233
482	3717.924954
483	3704.64336
484	3684.628875
485	3670.058241
486	3659.26905
487	3647.628797
488	3625.500569
489	3611.218701
490	3593.371063
491	3576.184766
492	3564.48588
493	3563.73393
494	3554.599814
495	3538.961879
496	3529.868251
497	3515.120313
498	3505.901945
499	3498.736617
500	3485.179758
501	3477.089665
502	3472.869553
503	3458.237998
504	3452.302191
505	3450.794657
506	3441.523372
507	3425.996626
508	3414.896896
509	3409.266477
510	3394.422763
511	3380.898939
512	3369.987559
513	3356.650767
514	3346.375611
515	3337.215467
516	3323.643322
517	3322.442044
518	3310.068445
519	3293.068437
520	3285.543438
521	3278.114382
522	3261.82815
523	3252.416689
524	3241.762592
525	3236.021695
526	3227.264109
527	3215.713263
528	3209.245625
529	3200.68718
530	3188.805826
531	3177.114395
532	3167.543906
533	3149.334447
534	3148.906571
535	3135.288388
536	3130.124146
537	3119.455615
538	3111.367135
539	3101.860872
540	3094.23353
541	3083.185205
542	3078.224016
543	3068.981469
544	3063.62206
545	3052.223612
546	3051.903311
547	3040.407544
548	3031.988609
549	3031.029535
550	3028.127928
551	3024.763069
552	3018.822524
553	3008.152974
554	2998.636632
555	2983.81743
556	2972.298847
557	2964.477449
558	2949.721331
559	2944.984762
560	2938.072406
561	2928.94313
562	2921.206607
563	2908.432365
564	2897.766849
565	2897.48489
566	2884.829965
567	2872.030378
568	2863.906022
569	2853.856518
570	2847.282908
571	2837.333761
572	2834.6316
573	2821.838851
574	2812.332781
575	2801.065618
576	2791.364663
577	2787.432212
578	2774.676315
579	2766.716179
580	2754.809266
581	2752.502997
582	2738.845343
583	2733.347973
584	2725.912243
585	2712.84393
586	2706.191662
587	2693.113518
588	2686.390679
589	2679.185064
590	2673.984377
591	2662.342943
592	2655.976665
593	2652.561089
594	2640.960668
595	2630.7909
596	2628.358441
597	2625.16825
598	2615.228932
599	2609.805983
600	2603.765778
601	2598.600443
602	2588.598841
603	2579.820655
604	2579.405793
605	2573.476687
606	2561.194364
607	2553.229413
608	2543.397958
609	2535.285064
610	2526.547482
611	2518.201411
612	2511.964237
613	2503.458576
