iter	Passed	Remaining
0	62	62410
1	80	40051
2	96	32178
3	106	26459
4	114	22854
5	121	20140
6	128	18227
7	134	16736
8	139	15365
9	145	14404
10	150	13572
11	155	12820
12	160	12212
13	166	11721
14	172	11324
15	177	10915
16	184	10655
17	190	10380
18	194	10063
19	200	9813
20	205	9585
21	210	9349
22	214	9131
23	221	9024
24	227	8871
25	232	8725
26	238	8600
27	244	8492
28	251	8414
29	256	8298
30	261	8171
31	266	8051
32	272	7976
33	277	7882
34	283	7810
35	288	7723
36	293	7633
37	298	7562
38	304	7498
39	308	7415
40	313	7323
41	317	7250
42	322	7186
43	327	7105
44	331	7043
45	336	6969
46	340	6910
47	346	6868
48	352	6843
49	355	6753
50	360	6707
51	366	6676
52	372	6655
53	378	6624
54	384	6602
55	388	6551
56	393	6515
57	398	6476
58	401	6407
59	407	6383
60	412	6357
61	417	6322
62	422	6287
63	427	6255
64	433	6242
65	438	6206
66	444	6185
67	451	6188
68	457	6175
69	463	6157
70	471	6165
71	477	6152
72	485	6159
73	491	6151
74	498	6143
75	503	6116
76	508	6097
77	514	6077
78	519	6060
79	525	6043
80	532	6039
81	538	6032
82	544	6010
83	544	5934
84	550	5923
85	555	5901
86	561	5887
87	566	5875
88	571	5853
89	578	5847
90	583	5833
91	589	5822
92	594	5796
93	594	5734
94	600	5717
95	604	5692
96	609	5676
97	615	5662
98	619	5640
99	625	5625
100	630	5607
101	634	5589
102	639	5565
103	644	5552
104	649	5538
105	654	5518
106	660	5515
107	665	5498
108	670	5477
109	675	5466
110	680	5451
111	685	5432
112	689	5414
113	695	5401
114	700	5387
115	703	5364
116	708	5345
117	712	5329
118	717	5314
119	721	5293
120	726	5276
121	731	5260
122	735	5245
123	739	5226
124	745	5218
125	749	5199
126	755	5192
127	762	5192
128	767	5184
129	772	5172
130	779	5169
131	784	5161
132	789	5148
133	796	5145
134	801	5134
135	806	5120
136	806	5078
137	811	5069
138	817	5063
139	822	5053
140	828	5050
141	834	5039
142	839	5032
143	845	5028
144	851	5020
145	858	5019
146	864	5015
147	869	5004
148	874	4993
149	879	4984
150	884	4972
151	889	4960
